GENESIS-Tabelle: 21331-0002,,,,,,,,,,
Non-enrolled students: Germany, semester, subject groups,,,,,,,,
Statistics of non-enrolled students,,,,,,,,,,
Germany,,,,,,,,,,
Non-enrolled students (number),,,,,,,,,,
,Semester,Semester,Semester,Semester,Semester,Semester,Semester,Semester,,
,WT 2007/08,WT 2008/09,WT 2009/10,WT 2010/11,WT 2011/12,WT 2012/13,WT 2013/14,WT 2014/15,,
Linguistics and Cultural Studies,14511,13329,13605,12780,11709,12374,12139,12268,,
Sports,613,663,537,565,555,767,272,393,,
Law,8041,8939,9513,9122,11258,9333,7673,7440,7247,6738
Mathematics,2692,2710,2663,3369,2913,2801,2556,2707,2868,
Human Medicine/Health Science,204,229,240,396,829,883,891,922,,
Veterinary Medicine,1,1,1,-,-,-,-,-,,
Agricultural,88,63,49,65,65,74,79,92,83,
Engineering Sciences,1011,991,1151,1194,969,899,780,931,,
Art,2377,2148,2234,2222,2902,2667,2122,2220,2197,
Other fields of study,7671,7579,9429,8492,7348,6454,7611,7244,,
Total,38445,36860,41877,38640,34625,33574,33959,33644,,
__________,,,,,,,,,,
(C)opyright Statistisches Bundesamt, Wiesbaden 2016,,,,,,,,,
created: 24.05.2016 - 12:05:44,,,,,,,,,,
